time,text
12:00:00,It was precisely twelve o’clock; twelve by Big Ben— V.Woolf—http://bit.ly/1ghgGb6—#twitterfiction
12:01:00,"At precisely 12:01 PM., a brown sedan, which was parked around the corner, pulled away—Bernard Ritchen—http://bit.ly/1qk6VB6—#twitterfiction"
12:02:00,At precisely 12:02 pm. Nick arrives to pick up a very happy Gabriel—Kathy E. Magliato—http://bit.ly/1hQu8VR—#twitterfiction
12:03:00,The jurors began their deliberations at 12:03 pm —Mckay Jenkins—http://bit.ly/1fzyPAc—#twitterfiction
12:04:00,"...at 12:04 pm., she would...demand that the TV be turned to...All My Children was on—Cook&Pollock—http://bit.ly/1hvnWnS—#twitterfiction"
12:05:00,12:05 pm. Two gray Packards pulled up in front of Gestapo headquarters.—Leo Rutman—http://bit.ly/1fApsWV—#twitterfiction
12:06:00,"THE TURN CAME on a pale cold colorless afternoon in late February, at 12:06 pm —Steven Millhauser—http://bit.ly/1jJks1l—#twitterfiction"
12:07:00,Julie's parents received the hospital certificate with the time of death plainly marked—J. Anderson—http://bit.ly/1fzazhB—#twitterfiction
12:08:00,...two are now dead and one departed for Canada—before 12:08 pm...—Stephen Kotkin—http://bit.ly/OOiLFM—#twitterfiction
12:09:00,12:09 pm. Pretty Levine kicked open the door to the Gestapo switchboard located—Leo Rutman—http://bit.ly/1fApsWV—#twitterfiction
12:10:00,checked my watch: 12:10 pm Right on time. I could always count on the habits of the neighbors—E.Sax—http://bit.ly/1eRFwgL—#twitterfiction
12:11:00,12:11 pm. Seamus sprang to his feet...—William Bernhardt—http://bit.ly/1bYrY8g—#twitterfiction
12:12:00,12:12PM just got it...looking @ it now. Walk me through this so I know why it's interesting—J.Blachman—http://bit.ly/MFq4NX—#twitterfiction
12:13:00,"At 12:13 pm., Stralsund...signaled Hipper that she had seen “5 enemy battleships.” —R.Massie—http://bit.ly/1hQe9Hp—#twitterfiction"
12:14:00,stopped...at 12:14...time-frozen watch...falling into the lake...death...body hit the water—MacGregor—http://bit.ly/1g1EOyv—#twitterfiction
12:15:00,twelve-fifteen of a brilliant autumn day...one of the most startling financial tragedies...—Dreiser—http://bit.ly/1n16tJ3—#twitterfiction
12:16:00,Time of death is 12:16 p.m.—Marthe Jocelyn—http://bit.ly/1cpmljO—#twitterfiction
12:17:00,at 12:17 p.m. in the basement cafeteria of the school...Mr. Allen inadvertently aspirated—S.Durkee—http://bit.ly/1bYCBrM—#twitterfiction
12:18:00,"12:18 pm. On the short twelfth hole, Jimmy Wright hits his tee shot into the bunker—Dick Schaap—http://bit.ly/1lrSkmg—#twitterfiction"
12:19:00,"At 12:19, after 90 minutes in the pits, McLaren droveon the track. He gradually built up speed—F.Orr—http://bit.ly/1eECXDl—#twitterfiction"
12:20:00,"The jury retired once more, at 12:20. It returned four minutes later. It had no recommendations—M.Lowe—http://bit.ly/1lsk7mG—#twitterfiction"
12:21:00,"Oct 14, 2010, 12:21 PM Me: Reread that text ...Whoops...! Did u get a good laugh out of it?—J.Madison—http://bit.ly/1eEMkDc—#twitterfiction"
12:22:00,12:22 PM I'm in the hallway. I'm not really feeling going back to KK yet...—Peter Stenson—http://bit.ly/1pQIT0x—#twitterfiction
12:23:00,"...at 12:23, a telegram from the deputy minister of justice arrived at the Goderich jail—Sher&Burke—http://bit.ly/1jJHOUu—#twitterfiction"
12:24:00,"12:24 p. m. (by my bedside clock) I think I've just heard a small cry, but I can't be certain—P.Adams —http://bit.ly/1hCXcBx—#twitterfiction"
12:25:00,He left the area about 12:25 pm-—Josiah Thompson—http://bit.ly/1mXFESF—#twitterfiction
12:26:00,"12:26 p.m., the Knickerbocker Trust suspended business—Mosette Broderick—http://bit.ly/NKtU9k—#twitterfiction"
12:27:00,the sun set at 12:27 p.m. on November 24—Kevin Coyne—http://bit.ly/1hDbmCo—#twitterfiction
12:28:00,"At 12:28 pm. nearly three months after it had been assembled, the jury was disbanded—M.Lowe—http://bit.ly/1lrSkmg—#twitterfiction"
12:29:00,They'd disconnected years ago. 12:29 pm All airline people were idiots.—Nancy Moser—http://bit.ly/1eOqYP2—#twitterfiction
12:30:00,After Lee goes to lunch Beatrice stays with me until 12:30PM. B and I go to the media center.—L.Dobson—http://bit.ly/1eEJlKR—#twitterfiction
12:31:00,"It is 12:31 pm. He hits the firing buzzer. Aft, Dunlop shouts “Fire.” —David Bercuson, Holger Herwig—http://bit.ly/1gK4YaI—#twitterfiction"
12:32:00,12:32 PM Even if we couldn't stop him from winning again...at least I can pretend—@jeremyblachman—http://bit.ly/1ckaVOH—#twitterfiction
12:33:00,"12:33 pm. With a thirty-foot putt, Steve Melnyk birdies the first hole—Dick Schaap—http://bit.ly/1eOxllA—#twitterfiction"
12:34:00,It's 12:34 pm Over powdered eggs and undercooked hash browns—@RonSuskind—http://bit.ly/1g1tz9k—#twitterfiction
12:35:00,It was 12:35 pm. when Mrs. Celia Freeman...took the call on the telephone exchange.—Colin Dexter—http://bit.ly/1fz3fZg—#twitterfiction
12:36:00,Then at 12:35 pm...the zeppelin L-13 reported a new force of thirty ships—R.Massie—http://bit.ly/1g3f7NX—#twitterfiction
12:37:00,"June 21, 1987, at 12:37 pm, he logged into our Unix computer as Sventek. —Clifford Stoll—http://bit.ly/1dNXS2G—#twitterfiction"
12:38:00,"12:38 pm— Put on a Dolly Parton record, inspiring music that helps me focus while I write. —R.Lanham—http://bit.ly/NhUOFJ—#twitterfiction"
12:39:00,"From 12:08 am. to 12:39 am., Clinton spoke with Bennett.—John F. Harris—http://bit.ly/1ldJJRo—#twitterfiction"
12:40:00,"At 12:40 A.M., August 9, hulking Savo Island loomed out of the darkness. —Robert Leckie—http://bit.ly/1npTHk1—#twitterfiction"
12:41:00,lvins was in the hot suite from 9:25 to 12:41.His nocturnal activity grew more intense—David Willman—http://bit.ly/1fypkaq—#twitterfiction
12:42:00,A police officer said he got to the public boat ramp on Bottleneck Lake at 12:42 am—George Cuomo—http://bit.ly/1eLW6yP—#twitterfiction
12:43:00,The VCR display showed 12:43... a bleached-blond motor-mouth was...on an abdominal exerciser—N.Dickner—http://bit.ly/1cifetj—#twitterfiction
12:44:00,Moon in Cancer to Leo 12:44 A.M...Try not to step on any toes in the process—BDD—http://bit.ly/NGF7b4—#twitterfiction
12:45:00,"12:45 AM Arrive Green Bay, Wisconsin—Jacques Lowe—http://bit.ly/MVjdjH—#twitterfiction"
12:46:00,"... and finally drove Seligman back to his dorm, where his key card was swiped at 12:46 am.—Ann Coulter—http://bit.ly/NgHPnB—#twitterfiction"
12:47:00,demonstrated his greatness with the clutch clout that ended hostilities at 12:47 am—Howard Bryant—http://bit.ly/MVjl2s—#twitterfiction
12:48:00,"Rosen insisted that he had saved it at 12:48 am., not sent it—@kenauletta—http://bit.ly/1kkJrej—#twitterfiction"
12:49:00,He repeats the signal at 12:49 am in an attempt to home the other u-boats in on the carrier—Henry Kisor—http://bit.ly/ONq9Bc—#twitterfiction
12:50:00,"12:50 A M. Martina or, more accurately, thoughts of Martina were denying me the right to sleep—M.Gayle—http://bit.ly/1eLMeF9—#twitterfiction"
12:51:00,Cinder-block struts. window bars. spookedelic paint. Clock in: 12:51 am. Crutch parked—James Ellroy—http://bit.ly/1fyluhs—#twitterfiction
12:52:00,"12:52 p.m. “You moved the furniture,” he says. “New bookcases?” —Michelle Richmond—http://bit.ly/1i3wDWO—#twitterfiction"
12:53:00,"As in: 12:53 p.m.: ""Why can't my Jeffrey find a nice girl to give me some grandchildren?""—Doree Lewak—http://bit.ly/1k9ukSb—#twitterfiction"
12:54:00,"12:54 p.m.: ""They're all loose gold diggers! My Jeffrey isn't going to marry any slut!""—Doree Lewak—http://bit.ly/1k9ukSb—#twitterfiction"
12:55:00,"12:55 p.m.: ""Barbara,you don't know any thin girls from the temple?—Doree Lewak—http://bit.ly/1k9ukSb—#twitterfiction"
12:56:00,Back in my hovel I roll a joint. It is 12:56 pm. by the clock glyph on mv mobile. —John Burdett—http://bit.ly/1klPL55—#twitterfiction
12:57:00,"At exactly that moment, 12:57 pm., the Concorde was still at two thousand feet —Robert P. Davis—http://bit.ly/MFqzHQ—#twitterfiction"
12:58:00,"Then, at 12:58 p.m...The beams had found each other and collided perfectly head-on—Amir D. Aczel—http://bit.ly/1bYCZGH—#twitterfiction"
12:59:00,... bluish-green clouds 12:59PM...the robot was giving Earth a close-up look at 7th planet—W.Burrows—http://bit.ly/1jJtlYI—#twitterfiction
13:00:00,"1:00 PM: The meat arrives...it arrives as almost-whole animals, not cuts of meat like ShopRite—D.Rosen—http://bit.ly/1hyCLGv—#twitterfiction"
13:01:00,"1:01 pm. With a three-foot putt, Steve Melnyk birdies the third hole—Dick Schaap—http://bit.ly/1fzmAth—#twitterfiction"
13:02:00,It was the number Sheila had dialed at 1:02 pm. the day she died.  —Linwood Barclay—http://bit.ly/1i2QiIQ—#twitterfiction
13:03:00,By 1:03 pm—just 3 mins after I bought my rathole units...W.St had driven the units up to $18—Belfort—http://bit.ly/1bWbYnr—#twitterfiction
13:04:00,At 1:04 pm. Bahr receives word that U$27  in AK8668 has spotted smoke clouds—Bercuson&Herwig—http://bit.ly/1mNO6Y0—#twitterfiction
13:05:00,"According to his dashboard clock, it was 1:05pm After getting his gas receipt, he pulled away—J.Verdon—http://bit.ly/1jJjZfA—#twitterfiction"
13:06:00,At precisely 1:06 pm his worst fears were realized...truck w/ the bomb drove into the building —T.Gup—http://bit.ly/1bYsCCW—#twitterfiction
13:07:00,"Anatoli Boukreev, the lead guide for Scott Fischer, finally topped out at about 1:07 pm,—Michael Useem—http://bit.ly/1cusANS—#twitterfiction"
13:08:00,According to the computer dating the file called “AAA Random Thoughts” was last amended at 1:08—Didion—http://bit.ly/1ogaV1O—#twitterfiction
13:09:00,"""The time is 1:09 pm.” She turned off tape recorder. “I understand there was a little problem""—Larsson—http://bit.ly/1lscNHC—#twitterfiction"
13:10:00,"Instant message between Brian Hunter and unnamed trader, May 25, 2006, beginning at 1:10 pm—B.Dreyfuss—http://bit.ly/1hAwVnj—#twitterfiction"
13:11:00,She glanced at the overhead clock—it was 1:11pm—as the train sat in the station—C.Scarborough—http://bit.ly/1eInouo—#twitterfiction
13:12:00,"time signature read 1:12 ""So by this time he'd already stopped by for the new swipe card?""—D.Fesperman—http://bit.ly/1eOyjhF—#twitterfiction"
13:13:00,"At 1:13pm, President Clinton stepped to the microphones to address the story of the rock—K.Sawyer—http://bit.ly/1pNtUEr—#twitterfiction"
13:14:00,"at 1:14pm, 3 emergency valves opened...sending 52,000 gallons of hot, flammable liquid to —M. Heffernan—http://bit.ly/NhA6Wn—#twitterfiction"
13:15:00,"Under present technocracy, when 9-to-5 ethic is threatened, we can find peace...11am to 1:15pm—R.Stout—http://bit.ly/1fzuzR1—#twitterfiction"
13:16:00,At 1:16 pm. the duty watch spies an ancient Armstrong-Whitworth Whitley bomber — Bercuson&Herwig—http://bit.ly/1hPZpbw—#twitterfiction
13:17:00,On arrival at Sonokrom at 1:17 Constable G.Musoh & I were met by Detective Constable I.Mensah—N.Parkes—http://bit.ly/1pMjNzW—#twitterfiction
13:18:00,At 1:18 the great column began 2 dissolve But 2 mins later...the 3rd appearance of fantastic spectacle—http://bit.ly/1hvkmu8—#twitterfiction
13:19:00,"1:19 pm, they were responding to a shooting...found Ford Torino parked in run-down neighborhood.—Date—http://bit.ly/1eRYfZy—#twitterfiction"
13:20:00,"Harrison had ...been murdered by... ""tubular metal rod""....her body was discovered at 1:20pm.—C.Dexter—http://bit.ly/1i4NwTF—#twitterfiction"
13:21:00,"At 1:21 pm, Exmoor I] reported, the U-l3l upended and sank stern first.—Clay Blair—http://bit.ly/1eOh3Js—#twitterfiction"
13:22:00,Horvath made arrangements then confirmed w/ Fox that the time of his call was 1:22—Firstman&Salpeter—http://bit.ly/1ogc7lO—#twitterfiction
13:23:00,"1:23pm To: Marc Subject: CONCERNING Marc, After our chat about the job, I've done research. —M.Abraham—http://bit.ly/1gJSZtw—#twitterfiction"
13:24:00,"Hipper was not coming in this direction, Warrender turned north at 1:24 pm. He was too late.—R.Massie—http://bit.ly/1kmljIf—#twitterfiction"
13:25:00,"at 1:25pm, he fearfully reckoned the rising vapors to be the crests of thunderheads—M.Useem—http://bit.ly/1hB0eG9—#twitterfiction"
13:26:00,"At 1:26 P.M., the St. Lawrence fired the first broadside, within pistol shot,—Theodore Roosevelt—http://bit.ly/1hytQ7H—#twitterfiction"
13:27:00,"Cheers of two thousand welcomers rolled across the Hudson. Finally, at 1:27 pm...—Edmund Morris—http://bit.ly/1lshscQ—#twitterfiction"
13:28:00,"Explorer II lifted off the pad at 1:28pm, he sat in a JPL conference room surrounded by staff—J.Gleick—http://bit.ly/1kEtDji—#twitterfiction"
13:29:00,1:29 P.M. at the conference in Berlin. President Truman informed Prime Minister Churchill—Mike Wright:—http://bit.ly/MGEr4H—#twitterfiction
